d3e338166Heiligenlexikon-1858;(22. al. 21. Narz, 21. Aug.)
d3e340448Heiligenlexikon-1858;(3. Aug. al 3. 22. Mai)
d3e346118Heiligenlexikon-1858;(29. al. 18. 20. Mai)
d3e346118Heiligenlexikon-1858;(29. al. 18. 20. Mai)
d3e351608Heiligenlexikon-1858;(22. Aug. al. 29. 30. Oct.)
d3e362238Heiligenlexikon-1858;(16. al. 15. 17. Juli)
d3e362238Heiligenlexikon-1858;(16. al. 15. 17. Juli)
d3e364922Heiligenlexikon-1858;(14. al. 13. 15. 18. Juli)
d3e364922Heiligenlexikon-1858;(14. al. 13. 15. 18. Juli)
d3e371123Heiligenlexikon-1858;(1. Dec. al. 1. 20. 23. Sept. 30. Dec.)
d3e372434Heiligenlexikon-1858;(12. Juli, al. 23. 27. Aug. 12. Sept. 14. Dec.)
d3e374047Heiligenlexikon-1858;(13. al. 14. 15. April)
d3e374047Heiligenlexikon-1858;(13. al. 14. 15. April)
d3e379218Heiligenlexikon-1858;(7. Juni, al. 15. 17. 18. Sept.)
d3e379369Heiligenlexikon-1858;(17. Jan. al. 8. 18. Mai, 19. Nov.)
d3e384529Heiligenlexikon-1858;(13. Jan. al. 14. 31. Jan. 26. Juni, 22. Aug. 1. Nov.)
d3e385393Heiligenlexikon-1858;(21. al. 18. 20. Mai, 24. 26. März, 1. Juni, 7. Oct.)
d3e385393Heiligenlexikon-1858;(21. al. 18. 20. Mai, 24. 26. März, 1. Juni, 7. Oct.)
d3e389567Heiligenlexikon-1858;(17. al. 8. 18. Juni, 19. Oct.)
d3e389567Heiligenlexikon-1858;(17. al. 8. 18. Juni, 19. Oct.)
d3e393835Heiligenlexikon-1858;(27. al. 25. 26. Aug.)
d3e393835Heiligenlexikon-1858;(27. al. 25. 26. Aug.)
d3e397292Heiligenlexikon-1858;(1. al. 28. 29. April, 16. März)
d3e397292Heiligenlexikon-1858;(1. al. 28. 29. April, 16. März)
d3e399961Heiligenlexikon-1858;(12. Febr. al. 21. 22. Aug.)
d3e400171Heiligenlexikon-1858;(25. März, al. 6. 30. Sept.)
d3e400325Heiligenlexikon-1858;(16. Dec. al. 4. 13. März)
d3e400809Heiligenlexikon-1858;(19. al. 22. 23. 29. Mai)
d3e400809Heiligenlexikon-1858;(19. al. 22. 23. 29. Mai)
d3e411464Heiligenlexikon-1858;(28. 26. Dec. al. 28. Jan.)
d3e412303Heiligenlexikon-1858;(15. Apr., al. 6. 15. Nov.)
d3e417518Heiligenlexikon-1858;(26. al. 15. 27. Aug.)
d3e417518Heiligenlexikon-1858;(26. al. 15. 27. Aug.)
d3e422436Heiligenlexikon-1858;(6. April, al. 14. 24. Mai)
d3e427163Heiligenlexikon-1858;(15. Juni, al. 13. 18. Jan. etc.)
d3e428187Heiligenlexikon-1858;(18. al. 10. 20. April)
d3e428187Heiligenlexikon-1858;(18. al. 10. 20. April)
d3e428654Heiligenlexikon-1858;(15. al. 13. 14. Juli)
d3e428654Heiligenlexikon-1858;(15. al. 13. 14. Juli)
d3e442940Heiligenlexikon-1858;(20. März, al. 9. 16. Sept. etc.)
d3e443371Heiligenlexikon-1858;(29. al. 19. 24. Mai)
d3e443371Heiligenlexikon-1858;(29. al. 19. 24. Mai)
d3e446435Heiligenlexikon-1858;(12. al. 13. 14. Mai)
d3e446435Heiligenlexikon-1858;(12. al. 13. 14. Mai)
d3e450473Heiligenlexikon-1858;(15. Jan. al. 27. 28. Febr., 15. Sept.)
d3e450621Heiligenlexikon-1858;(23. al. 28. 30. Jan.)
d3e450621Heiligenlexikon-1858;(23. al. 28. 30. Jan.)
d3e452737Heiligenlexikon-1858;(5. Mai, al. 26. 27. Juni etc.)
d3e454227Heiligenlexikon-1858;(24. Juni, al. 23. 24. Sept. etc.)
d3e455017Heiligenlexikon-1858;(21. al. 11. 31. Juli etc.)
d3e455017Heiligenlexikon-1858;(21. al. 11. 31. Juli etc.)
d3e455468Heiligenlexikon-1858;(1. Sept., al. 3., 31. Aug.)
d3e461023Heiligenlexikon-1858;(19. Juli, al. 29. 30. Sept.)
d3e462442Heiligenlexikon-1858;(23. al. 22. 24. Oct., 23. Nov. etc.)
d3e462442Heiligenlexikon-1858;(23. al. 22. 24. Oct., 23. Nov. etc.)
d3e467128Heiligenlexikon-1858;(8. al. 9. 14. März)
d3e467128Heiligenlexikon-1858;(8. al. 9. 14. März)
d3e485092Heiligenlexikon-1858;(17. Dec. al. 7. 22. Mai)
d3e488285Heiligenlexikon-1858;(17. al. 27. 28. März etc.)
d3e488285Heiligenlexikon-1858;(17. al. 27. 28. März etc.)
d3e489150Heiligenlexikon-1858;(14. al. 13. 15. Juni)
d3e489150Heiligenlexikon-1858;(14. al. 13. 15. Juni)
d3e512697Heiligenlexikon-1858;(18. al. 11. 17. Oct.)
d3e512697Heiligenlexikon-1858;(18. al. 11. 17. Oct.)
d3e555359Heiligenlexikon-1858;(28. al. 18. 20. Jan.)
d3e555359Heiligenlexikon-1858;(28. al. 18. 20. Jan.)
d3e575271Heiligenlexikon-1858;(31. Oct. al 2. u. 25. Aug.)
d3e577194Heiligenlexikon-1858;(20. al. 21. u. 22. Aug.)
d3e577194Heiligenlexikon-1858;(20. al. 21. u. 22. Aug.)
d3e583353Heiligenlexikon-1858;(29. al. 13., 15. u. 16. Juli)
d3e583353Heiligenlexikon-1858;(29. al. 13., 15. u. 16. Juli)
d3e583603Heiligenlexikon-1858;(18. al. 27. et 28. Aug.)
d3e583603Heiligenlexikon-1858;(18. al. 27. et 28. Aug.)
d5e598Heiligenlexikon-1858;(2. al. 15. und 19. Jan.)
d5e598Heiligenlexikon-1858;(2. al. 15. und 19. Jan.)
d5e10392Heiligenlexikon-1858;(24. al. 17. und 26. Oct.)
d5e10392Heiligenlexikon-1858;(24. al. 17. und 26. Oct.)
d5e10947Heiligenlexikon-1858;(16. al. 14., 15. u. 17. Oct.)
d5e10947Heiligenlexikon-1858;(16. al. 14., 15. u. 17. Oct.)
d5e13646Heiligenlexikon-1858;(11. al. 4. u. 13. Mai, 17. April)
d5e13646Heiligenlexikon-1858;(11. al. 4. u. 13. Mai, 17. April)
d5e15296Heiligenlexikon-1858;(9. Nov. al. 8. und 30. März)
d5e19045Heiligenlexikon-1858;(20. Aug. al. 10. u. 17. Febr., 1. Juni)
d5e20464Heiligenlexikon-1858;(3. al. 2. und 26. März)
d5e20464Heiligenlexikon-1858;(3. al. 2. und 26. März)
d5e29966Heiligenlexikon-1858;(29. März al. 20. u. 22. Mai)
d5e33997Heiligenlexikon-1858;(20. al. 13. und 17. Juli)
d5e33997Heiligenlexikon-1858;(20. al. 13. und 17. Juli)
d5e35329Heiligenlexikon-1858;(18. Jan. al. 13. u. 18. März)
d5e38916Heiligenlexikon-1858;(2. al. 4. 30. Apr. 28. 29. 31. März)
d5e38916Heiligenlexikon-1858;(2. al. 4. 30. Apr. 28. 29. 31. März)
d5e41165Heiligenlexikon-1858;(3. al 25., 27. Jan.)
d5e41165Heiligenlexikon-1858;(3. al 25., 27. Jan.)
d5e43387Heiligenlexikon-1858;(22. al. 21. und 24. März)
d5e43387Heiligenlexikon-1858;(22. al. 21. und 24. März)
d5e46361Heiligenlexikon-1858;(5. Juni al. 12. u. 31. Mai)
