File;Accuracy;Precision;Recall
rule_based_evaluation.txt;0.71;0.4888888888888889;0.38596491228070173

;Gold Standard Match; System Match;HLexLink;WikidataLinkGold;WikidataLinkSystem
d5e158395Heiligenlexikon-1858;Q84552620;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e158395Heiligenlexikon-1858;Q84552620;
d5e122241Heiligenlexikon-1858;Q3335424;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e122241Heiligenlexikon-1858;Q3335424;
d3e536341Heiligenlexikon-1858;Q3217111;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e536341Heiligenlexikon-1858;Q3217111;
d3e86709Heiligenlexikon-1858;Q775906;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e86709Heiligenlexikon-1858;Q775906;
d3e43423Heiligenlexikon-1858;Q3614655;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e43423Heiligenlexikon-1858;Q3614655;
d3e193650Heiligenlexikon-1858;Q310633;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e193650Heiligenlexikon-1858;Q310633;
d5e53786Heiligenlexikon-1858;Q1083918;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e53786Heiligenlexikon-1858;Q1083918;
d5e122935Heiligenlexikon-1858;Q2100489;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e122935Heiligenlexikon-1858;Q2100489;
d5e282272Heiligenlexikon-1858;Q22212885;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e282272Heiligenlexikon-1858;Q22212885;
d5e203445Heiligenlexikon-1858;Q174323;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e203445Heiligenlexikon-1858;Q174323;
d3e250410Heiligenlexikon-1858;Q2331447;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e250410Heiligenlexikon-1858;Q2331447;
d3e557167Heiligenlexikon-1858;Q3237693;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e557167Heiligenlexikon-1858;Q3237693;
d5e124567Heiligenlexikon-1858;Q14634630;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e124567Heiligenlexikon-1858;Q14634630;
d3e32350Heiligenlexikon-1858;Q392097;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e32350Heiligenlexikon-1858;Q392097;
d5e92324Heiligenlexikon-1858;Q3333191;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e92324Heiligenlexikon-1858;Q3333191;
d3e357705Heiligenlexikon-1858;Q113356901;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e357705Heiligenlexikon-1858;Q113356901;
d5e201520Heiligenlexikon-1858;Q24907936;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e201520Heiligenlexikon-1858;Q24907936;
d5e26057Heiligenlexikon-1858;Q1860719;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e26057Heiligenlexikon-1858;Q1860719;
d3e450997Heiligenlexikon-1858;Q3175777;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e450997Heiligenlexikon-1858;Q3175777;
d5e9871Heiligenlexikon-1858;Q22582489;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e9871Heiligenlexikon-1858;Q22582489;
d3e404070Heiligenlexikon-1858;Q207113;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e404070Heiligenlexikon-1858;Q207113;
d3e10697Heiligenlexikon-1858;Q239674;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e10697Heiligenlexikon-1858;Q239674;
d3e587568Heiligenlexikon-1858;Q616354;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e587568Heiligenlexikon-1858;Q616354;
d3e80949Heiligenlexikon-1858;Q749500;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e80949Heiligenlexikon-1858;Q749500;
d3e155553Heiligenlexikon-1858;Q15217501;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e155553Heiligenlexikon-1858;Q15217501;
d3e57442Heiligenlexikon-1858;Q441644;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e57442Heiligenlexikon-1858;Q441644;
d3e145120Heiligenlexikon-1858;Q256455;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e145120Heiligenlexikon-1858;Q256455;
d3e544882Heiligenlexikon-1858;Q442235;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e544882Heiligenlexikon-1858;Q442235;
d3e222240Heiligenlexikon-1858;Q831068;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e222240Heiligenlexikon-1858;Q831068;
d5e10578Heiligenlexikon-1858;Q3277068;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e10578Heiligenlexikon-1858;Q3277068;
d5e264734Heiligenlexikon-1858;Q233067;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e264734Heiligenlexikon-1858;Q233067;
d5e376340Heiligenlexikon-1858;Q447384;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e376340Heiligenlexikon-1858;Q447384;
d3e253419Heiligenlexikon-1858;Q58701;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e253419Heiligenlexikon-1858;Q58701;
